ecosystem,namespace,name,version,repo_url,resolution_source
cargo,,atomic-waker,1.1.2,https://github.com/smol-rs/atomic-waker,deps_dev
cargo,,atomic_refcell,0.1.13,https://github.com/mozilla/atomic_refcell,deps_dev
cargo,,atomic_refcell,0.1.9,https://github.com/mozilla/atomic_refcell,deps_dev
cargo,,atty,0.2.11,https://github.com/softprops/atty,deps_dev
cargo,,atty,0.2.14,https://github.com/softprops/atty,deps_dev
cargo,,audio-mixer,0.2.0,https://github.com/mozilla/audio-mixer,deps_dev
cargo,,audio_thread_priority,0.32.0,https://github.com/padenot/audio_thread_priority,deps_dev
cargo,,audioipc2,0.6.0,,none
cargo,,audioipc2-client,0.6.0,,none
cargo,,audioipc2-server,0.6.0,,none
cargo,,authenticator,0.4.0-alpha.24,https://github.com/mozilla/authenticator-rs/,deps_dev
cargo,,authenticator,0.4.1,https://github.com/mozilla/authenticator-rs/,deps_dev
cargo,,authrs_bridge,0.1.0,,none
cargo,,auto-hash-map,0.1.0,,none
cargo,,auto_impl,1.2.0,https://github.com/auto-impl-rs/auto_impl/,deps_dev
cargo,,auto_impl,1.3.0,https://github.com/auto-impl-rs/auto_impl/,deps_dev
cargo,,autocfg,0.1.7,https://github.com/cuviper/autocfg,deps_dev
cargo,,autocfg,1.0.0,https://github.com/cuviper/autocfg,deps_dev
